Order ID,Customer Name,Product Name,Category,Order Date,Ship Date,Region,Country,Sales Channel,Quantity,Price per Unit,Total Sales,Profit Margin (%),Order Status,Customer Rating
AMZ10033,Customer 3276,Product 372,Books,2021-08-14,2021-08-22,Australia,United States,Online,7,226.17,1583.19,25.71,Delivered,1.6
AMZ10034,Customer 2626,Product 277,Home,2020-09-05,2020-09-12,Australia,Australia,Online,14,466.75,6534.5,12.45,Delivered,2.0
AMZ10035,Customer 1123,Product 814,Books,2023-10-31,2023-11-02,Australia,Canada,Online,15,283.52,4252.8,22.51,Cancelled,2.7
AMZ10036,Customer 2808,Product 442,Electronics,2020-11-11,2020-11-18,Europe,Australia,Online,13,20.6,267.8,26.02,Returned,4.3
AMZ10037,Customer 3680,Product 467,Sports,2024-10-02,2024-10-03,Africa,Canada,Offline,13,52.47,682.11,42.73,Returned,1.2
AMZ10038,Customer 3639,Product 338,Toys,2020-05-14,2020-05-17,Europe,United States,Offline,15,205.36,3080.4,24.05,Returned,1.8
AMZ10039,Customer 353,Product 510,Sports,2021-10-21,2021-10-23,Africa,India,Offline,19,350.73,6663.87,9.58,Cancelled,4.8
AMZ10040,Customer 3634,Product 556,Home,2024-10-27,2024-10-29,Europe,United Kingdom,Online,15,217.75,3266.25,39.85,Pending,2.0
AMZ10041,Customer 1669,Product 831,Electronics,2022-01-12,2022-01-15,South America,Germany,Online,18,226.85,4083.3,16.46,Cancelled,4.3
AMZ10042,Customer 4107,Product 473,Home,2022-11-17,2022-11-22,North America,United Kingdom,Online,9,269.02,2421.18,23.28,Cancelled,2.9
AMZ10043,Customer 4281,Product 46,Books,2022-08-29,2022-09-07,South America,Australia,Offline,2,402.29,804.58,30.24,Delivered,4.5
AMZ10044,Customer 3125,Product 970,Beauty,2021-07-26,2021-08-03,Europe,India,Online,1,467.2,467.2,13.76,Returned,4.7
AMZ10045,Customer 2590,Product 684,Beauty,2021-01-18,2021-01-21,Europe,United Kingdom,Offline,5,185.87,929.35,39.57,Cancelled,1.8
AMZ10046,Customer 254,Product 55,Electronics,2021-09-11,2021-09-13,Asia,United States,Offline,6,338.43,2030.58,25.37,Pending,4.4
AMZ10047,Customer 281,Product 300,Home,2022-07-25,2022-08-04,Europe,India,Online,4,305.78,1223.12,32.9,Returned,4.5
AMZ10048,Customer 4292,Product 830,Toys,2022-01-15,2022-01-23,South America,Brazil,Offline,18,116.75,2101.5,20.32,Delivered,3.4
AMZ10049,Customer 3287,Product 143,Beauty,2021-03-24,2021-04-02,South America,United Kingdom,Offline,6,209.91,1259.46,43.96,Cancelled,1.5
AMZ10050,Customer 3595,Product 504,Books,2023-06-29,2023-07-06,Africa,Brazil,Online,15,408.67,6130.05,26.88,Cancelled,4.3
AMZ10051,Customer 3194,Product 375,Beauty,2024-02-02,2024-02-09,North America,India,Online,9,443.35,3990.15,21.67,Delivered,1.6
AMZ10052,Customer 455,Product 248,Home,2020-09-23,2020-09-30,South America,Canada,Offline,10,289.5,2895.0,41.16,Cancelled,4.0
AMZ10053,Customer 3169,Product 389,Beauty,2024-11-26,2024-12-05,Asia,Canada,Online,4,122.17,488.68,31.3,Returned,1.5
AMZ10054,Customer 3321,Product 927,Clothing,2020-05-29,2020-06-07,Europe,Canada,Offline,17,20.28,344.76,35.6,Delivered,2.6
AMZ10055,Customer 4968,Product 950,Home,2022-02-15,2022-02-17,Africa,Canada,Offline,15,149.99,2249.85,32.18,Cancelled,1.6
AMZ10056,Customer 368,Product 704,Sports,2023-11-24,2023-12-04,North America,Brazil,Offline,9,27.25,245.25,39.89,Returned,4.4
AMZ10057,Customer 2116,Product 513,Beauty,2024-08-14,2024-08-19,North America,Brazil,Offline,9,317.59,2858.31,14.66,Delivered,1.5
AMZ10058,Customer 4791,Product 649,Clothing,2022-03-08,2022-03-17,North America,Germany,Online,6,212.57,1275.42,46.95,Returned,2.4
AMZ10059,Customer 3111,Product 94,Books,2021-01-17,2021-01-21,Europe,Germany,Offline,5,100.12,500.6,20.74,Pending,4.5
AMZ10060,Customer 736,Product 334,Home,2022-06-27,2022-07-05,South America,United States,Offline,2,191.69,383.38,24.4,Returned,1.2
AMZ10061,Customer 2983,Product 82,Home,2022-01-20,2022-01-24,Africa,Canada,Offline,3,212.66,637.98,48.23,Delivered,3.0
AMZ10062,Customer 3854,Product 153,Sports,2022-06-15,2022-06-22,Australia,Canada,Online,1,288.83,288.83,9.79,Pending,4.3
AMZ10063,Customer 865,Product 121,Electronics,2024-03-10,2024-03-17,South America,Australia,Offline,3,227.29,681.87,46.56,Returned,4.3
AMZ10064,Customer 2240,Product 757,Home,2021-01-23,2021-02-02,Australia,United States,Online,8,482.16,3857.28,8.05,Pending,4.7
AMZ10065,Customer 4272,Product 380,Electronics,2021-07-20,2021-07-27,Australia,Brazil,Online,19,419.12,7963.28,29.53,Returned,1.5
AMZ10066,Customer 2612,Product 202,Toys,2023-09-17,2023-09-25,North America,Australia,Offline,17,426.54,7251.18,17.78,Pending,4.5
AMZ10067,Customer 4487,Product 2,Toys,2023-05-21,2023-05-23,Europe,United Kingdom,Online,10,331.21,3312.1,16.55,Delivered,3.7
AMZ10068,Customer 770,Product 799,Home,2022-06-02,2022-06-05,South America,Canada,Online,11,283.05,3113.55,41.65,Delivered,4.6
AMZ10069,Customer 2699,Product 503,Clothing,2022-12-05,2022-12-10,South America,United States,Offline,11,180.32,1983.52,14.61,Delivered,4.0
AMZ10070,Customer 2686,Product 74,Toys,2023-07-25,2023-07-31,South America,India,Online,1,334.51,334.51,26.13,Returned,2.8
AMZ10071,Customer 2128,Product 646,Toys,2021-08-19,2021-08-22,Asia,United States,Offline,20,278.1,5562.0,23.42,Cancelled,3.8
AMZ10072,Customer 2054,Product 237,Books,2024-10-01,2024-10-10,South America,United States,Online,13,156.38,2032.94,19.34,Pending,4.7
AMZ10073,Customer 2606,Product 786,Home,2021-03-03,2021-03-08,Asia,India,Offline,17,222.28,3778.76,48.73,Cancelled,2.7
AMZ10074,Customer 2798,Product 498,Toys,2020-10-18,2020-10-26,South America,Australia,Offline,2,158.69,317.38,28.38,Returned,3.4
AMZ10075,Customer 2834,Product 544,Books,2023-09-24,2023-09-25,South America,Brazil,Online,20,38.7,774.0,21.1,Returned,2.6
AMZ10076,Customer 3496,Product 332,Electronics,2024-05-19,2024-05-28,Europe,Germany,Offline,19,18.63,353.97,21.38,Delivered,4.5
AMZ10077,Customer 4903,Product 588,Clothing,2020-09-16,2020-09-18,North America,Canada,Online,9,273.55,2461.95,34.62,Returned,1.1
AMZ10078,Customer 4831,Product 102,Books,2023-01-29,2023-01-31,Australia,Brazil,Offline,19,170.3,3235.7,44.75,Pending,3.0
AMZ10079,Customer 656,Product 160,Electronics,2022-12-21,2022-12-23,Australia,United Kingdom,Offline,17,443.93,7546.81,40.11,Delivered,2.4
AMZ10080,Customer 1617,Product 167,Books,2021-10-01,2021-10-11,North America,United Kingdom,Online,16,290.1,4641.6,48.42,Delivered,3.9
AMZ10081,Customer 1436,Product 895,Sports,2024-12-22,2024-12-25,Asia,Australia,Online,13,78.0,1014.0,26.4,Returned,1.0
AMZ10082,Customer 1595,Product 16,Toys,2020-08-25,2020-08-31,North America,Brazil,Offline,15,337.86,5067.9,37.01,Pending,1.9
AMZ10083,Customer 4447,Product 902,Sports,2024-01-03,2024-01-12,North America,Australia,Online,7,336.74,2357.18,27.78,Returned,2.2
AMZ10084,Customer 3732,Product 268,Home,2021-11-13,2021-11-16,Europe,United Kingdom,Online,9,66.96,602.64,25.65,Pending,4.5
AMZ10085,Customer 1468,Product 138,Clothing,2023-03-10,2023-03-12,South America,United Kingdom,Online,2,447.67,895.34,15.34,Delivered,3.9
AMZ10086,Customer 2473,Product 65,Clothing,2024-04-08,2024-04-09,North America,Germany,Online,13,410.5,5336.5,40.22,Returned,4.7
AMZ10087,Customer 1195,Product 22,Clothing,2024-08-24,2024-08-27,North America,Australia,Online,18,282.37,5082.66,41.91,Returned,1.8
AMZ10088,Customer 2254,Product 141,Beauty,2020-12-19,2020-12-23,Asia,United States,Online,3,338.28,1014.84,22.34,Delivered,4.8
AMZ10089,Customer 3555,Product 364,Clothing,2021-03-06,2021-03-15,South America,India,Offline,13,297.69,3869.97,42.82,Delivered,4.4
AMZ10090,Customer 3979,Product 513,Electronics,2023-08-31,2023-09-09,Europe,Germany,Online,13,235.78,3065.14,20.04,Pending,2.9
AMZ10091,Customer 2496,Product 410,Electronics,2024-06-29,2024-06-30,Europe,India,Online,7,389.4,2725.8,49.36,Pending,3.0
AMZ10092,Customer 3134,Product 252,Books,2023-05-16,2023-05-26,Africa,Australia,Offline,6,48.11,288.66,43.57,Pending,1.3
AMZ10093,Customer 1629,Product 919,Sports,2023-08-17,2023-08-20,Africa,Germany,Online,2,450.37,900.74,8.86,Returned,4.3
AMZ10094,Customer 2593,Product 205,Sports,2022-04-06,2022-04-12,Europe,Canada,Online,7,95.86,671.02,41.85,Returned,3.0
AMZ10095,Customer 3766,Product 970,Sports,2022-07-16,2022-07-18,South America,Brazil,Online,4,478.86,1915.44,34.48,Delivered,2.7
AMZ10096,Customer 188,Product 577,Clothing,2020-08-05,2020-08-07,North America,Canada,Online,1,310.87,310.87,43.78,Pending,5.0
AMZ10097,Customer 3969,Product 436,Clothing,2023-05-30,2023-06-03,Africa,India,Offline,16,40.51,648.16,16.08,Cancelled,2.8
AMZ10098,Customer 3439,Product 421,Home,2021-03-09,2021-03-13,Asia,Germany,Online,15,320.96,4814.4,37.84,Delivered,4.2
AMZ10099,Customer 4718,Product 238,Home,2022-11-04,2022-11-12,North America,United States,Online,5,240.76,1203.8,19.12,Pending,4.9
AMZ10100,Customer 4355,Product 911,Books,2022-02-22,2022-02-28,North America,United Kingdom,Online,12,152.19,1826.28,47.39,Returned,4.4
AMZ10101,Customer 1879,Product 804,Toys,2022-12-16,2022-12-24,South America,Australia,Online,8,32.47,259.76,28.5,Pending,4.9
AMZ10102,Customer 3344,Product 519,Sports,2022-01-05,2022-01-08,North America,Canada,Online,9,252.71,2274.39,7.33,Delivered,2.4
AMZ10103,Customer 1067,Product 533,Toys,2024-03-27,2024-04-02,Asia,Brazil,Offline,4,447.38,1789.52,29.9,Cancelled,2.2
AMZ10104,Customer 1997,Product 832,Electronics,2022-03-07,2022-03-08,Asia,Australia,Offline,19,278.02,5282.38,33.68,Returned,5.0
AMZ10105,Customer 3379,Product 439,Beauty,2024-05-14,2024-05-23,Europe,United States,Online,12,79.5,954.0,12.56,Cancelled,4.9
AMZ10106,Customer 2720,Product 114,Books,2023-02-14,2023-02-18,Africa,India,Online,1,437.23,437.23,28.84,Pending,2.4
AMZ10107,Customer 1622,Product 284,Home,2022-03-10,2022-03-18,South America,United Kingdom,Online,3,54.34,163.02,37.27,Returned,3.3
AMZ10108,Customer 1943,Product 704,Books,2021-06-02,2021-06-11,South America,India,Offline,12,88.48,1061.76,32.8,Delivered,3.1
AMZ10109,Customer 3461,Product 84,Clothing,2023-12-29,2024-01-01,Asia,Germany,Online,18,360.4,6487.2,16.92,Pending,3.0
AMZ10110,Customer 2641,Product 763,Electronics,2024-12-19,2024-12-26,Africa,United Kingdom,Offline,5,264.3,1321.5,7.8,Returned,4.5
AMZ10111,Customer 3402,Product 151,Electronics,2023-03-03,2023-03-13,North America,Germany,Online,14,476.6,6672.4,23.88,Cancelled,3.3
AMZ10112,Customer 3864,Product 207,Sports,2020-04-11,2020-04-18,Asia,Canada,Online,7,276.29,1934.03,34.88,Delivered,4.7
AMZ10113,Customer 2652,Product 847,Beauty,2020-05-06,2020-05-12,Africa,United Kingdom,Offline,11,68.85,757.35,38.87,Pending,3.0
AMZ10114,Customer 2030,Product 54,Clothing,2021-01-07,2021-01-10,Asia,Brazil,Online,15,445.21,6678.15,38.24,Cancelled,2.2
AMZ10115,Customer 1394,Product 918,Books,2021-11-16,2021-11-17,Africa,Australia,Offline,8,160.17,1281.36,36.44,Cancelled,1.9
AMZ10116,Customer 625,Product 632,Beauty,2022-05-04,2022-05-05,Asia,United States,Online,10,473.44,4734.4,47.13,Delivered,3.0
AMZ10117,Customer 3709,Product 353,Clothing,2022-12-25,2023-01-03,Asia,United Kingdom,Online,20,153.92,3078.4,22.34,Delivered,1.2
AMZ10118,Customer 2797,Product 47,Toys,2022-12-31,2023-01-07,North America,Canada,Offline,4,145.56,582.24,38.68,Pending,1.3
AMZ10119,Customer 3614,Product 881,Books,2020-10-23,2020-10-29,Australia,India,Offline,3,321.38,964.14,19.0,Returned,3.9
AMZ10120,Customer 1679,Product 727,Books,2022-07-31,2022-08-06,North America,United States,Online,4,465.08,1860.32,32.48,Returned,3.0
AMZ10121,Customer 1431,Product 231,Electronics,2021-07-30,2021-08-05,Australia,United Kingdom,Online,7,489.73,3428.11,18.11,Delivered,4.2
AMZ10122,Customer 4465,Product 422,Home,2023-01-06,2023-01-09,North America,Canada,Offline,5,498.34,2491.7,36.94,Delivered,3.7
AMZ10123,Customer 369,Product 901,Clothing,2023-09-07,2023-09-08,Asia,United States,Offline,12,168.32,2019.84,5.19,Pending,2.4
AMZ10124,Customer 4213,Product 314,Beauty,2024-05-06,2024-05-11,Africa,Canada,Offline,13,162.41,2111.33,36.38,Pending,2.3
AMZ10125,Customer 1583,Product 410,Beauty,2024-06-20,2024-06-21,North America,Brazil,Offline,8,373.93,2991.44,19.38,Delivered,1.5
AMZ10126,Customer 4629,Product 590,Toys,2020-04-16,2020-04-19,Asia,United Kingdom,Online,20,8.94,178.8,5.78,Cancelled,5.0
AMZ10127,Customer 4530,Product 397,Electronics,2022-07-10,2022-07-17,Africa,Germany,Online,18,253.07,4555.26,35.26,Delivered,4.9
AMZ10128,Customer 491,Product 797,Home,2024-06-05,2024-06-10,Australia,Australia,Online,10,154.32,1543.2,7.55,Returned,4.5
AMZ10129,Customer 4914,Product 145,Sports,2021-11-03,2021-11-13,North America,United Kingdom,Online,1,35.76,35.76,20.88,Returned,3.2
AMZ10130,Customer 2289,Product 997,Electronics,2021-11-16,2021-11-21,Asia,India,Online,16,460.7,7371.2,11.43,Cancelled,2.0
AMZ10131,Customer 2230,Product 659,Books,2022-12-18,2022-12-22,Europe,United Kingdom,Offline,2,407.26,814.52,48.21,Returned,4.6
AMZ10132,Customer 912,Product 403,Clothing,2022-12-07,2022-12-14,North America,United States,Online,13,144.55,1879.15,45.78,Cancelled,3.3
AMZ10133,Customer 2446,Product 563,Toys,2021-09-29,2021-10-02,Europe,United Kingdom,Online,2,369.4,738.8,10.54,Cancelled,3.8
AMZ10134,Customer 1876,Product 908,Books,2021-03-01,2021-03-07,North America,Germany,Online,17,458.09,7787.53,28.44,Delivered,2.8
AMZ10135,Customer 2017,Product 111,Books,2023-09-13,2023-09-17,North America,India,Offline,12,377.03,4524.36,25.69,Cancelled,2.9
AMZ10136,Customer 1693,Product 675,Home,2024-08-25,2024-08-29,Australia,Brazil,Offline,3,280.85,842.55,8.65,Returned,3.5
AMZ10137,Customer 1238,Product 854,Home,2020-12-16,2020-12-24,Australia,India,Online,14,206.38,2889.32,27.64,Delivered,2.2
AMZ10138,Customer 55,Product 147,Beauty,2020-08-18,2020-08-19,Europe,Australia,Offline,14,348.07,4872.98,35.03,Cancelled,1.2
AMZ10139,Customer 786,Product 717,Sports,2023-10-29,2023-11-08,South America,Brazil,Online,18,411.88,7413.84,47.32,Delivered,1.7
AMZ10140,Customer 3769,Product 618,Electronics,2020-06-23,2020-07-03,Europe,Brazil,Offline,6,333.92,2003.52,29.56,Cancelled,3.8
AMZ10141,Customer 494,Product 407,Sports,2021-07-10,2021-07-17,Africa,Australia,Online,20,349.5,6990.0,15.63,Delivered,2.7
AMZ10142,Customer 3116,Product 417,Toys,2022-04-27,2022-05-06,South America,United States,Online,3,139.75,419.25,18.58,Delivered,4.6
AMZ10143,Customer 3647,Product 415,Clothing,2024-01-10,2024-01-13,Asia,United Kingdom,Online,15,105.75,1586.25,43.57,Cancelled,1.9
AMZ10144,Customer 4362,Product 37,Sports,2022-08-24,2022-08-30,Europe,Canada,Offline,5,58.19,290.95,49.75,Returned,3.9
AMZ10145,Customer 1417,Product 111,Sports,2024-06-18,2024-06-28,Europe,Canada,Offline,20,69.06,1381.2,48.63,Pending,2.7
AMZ10146,Customer 3422,Product 790,Books,2021-12-10,2021-12-19,Europe,Germany,Offline,16,217.09,3473.44,11.72,Cancelled,3.3
AMZ10147,Customer 1166,Product 790,Books,2023-09-20,2023-09-29,North America,Brazil,Online,1,37.21,37.21,7.53,Cancelled,3.0
AMZ10148,Customer 2184,Product 931,Books,2024-10-18,2024-10-24,Europe,United States,Offline,5,135.32,676.6,34.91,Cancelled,5.0
AMZ10149,Customer 159,Product 603,Beauty,2024-06-07,2024-06-13,South America,United Kingdom,Online,14,378.33,5296.62,42.93,Cancelled,1.2
AMZ10150,Customer 334,Product 96,Beauty,2023-03-27,2023-04-05,Australia,United States,Offline,5,52.66,263.3,38.04,Pending,4.9
AMZ10151,Customer 2254,Product 396,Beauty,2021-03-01,2021-03-04,Asia,India,Online,20,420.83,8416.6,11.39,Pending,3.1
AMZ10152,Customer 801,Product 90,Sports,2021-06-04,2021-06-05,Africa,India,Offline,14,252.7,3537.8,47.26,Delivered,2.9
AMZ10153,Customer 615,Product 163,Home,2023-10-15,2023-10-17,Asia,Germany,Online,10,256.5,2565.0,34.41,Returned,2.4
AMZ10154,Customer 1448,Product 867,Books,2020-03-16,2020-03-21,North America,Australia,Offline,4,244.83,979.32,14.33,Cancelled,2.2
AMZ10155,Customer 4770,Product 660,Home,2024-03-25,2024-03-26,South America,Canada,Online,12,277.62,3331.44,49.16,Returned,4.0
AMZ10156,Customer 870,Product 786,Electronics,2022-02-24,2022-03-06,North America,Brazil,Online,19,404.77,7690.63,21.42,Returned,2.6
AMZ10157,Customer 2751,Product 18,Sports,2024-12-17,2024-12-25,North America,United States,Offline,13,360.35,4684.55,25.53,Cancelled,3.8
AMZ10158,Customer 3248,Product 461,Home,2023-06-02,2023-06-06,South America,Canada,Online,7,138.24,967.68,16.47,Cancelled,4.6
AMZ10159,Customer 956,Product 866,Books,2023-07-13,2023-07-15,Australia,United States,Online,12,283.52,3402.24,23.18,Cancelled,2.6
AMZ10160,Customer 2733,Product 533,Toys,2022-03-04,2022-03-14,Europe,United Kingdom,Online,19,234.82,4461.58,23.8,Returned,2.5
AMZ10161,Customer 4878,Product 828,Electronics,2023-02-16,2023-02-20,Africa,Canada,Offline,18,442.2,7959.6,9.67,Delivered,3.4
AMZ10162,Customer 1263,Product 223,Electronics,2023-02-28,2023-03-02,Europe,India,Online,8,128.17,1025.36,26.11,Pending,2.1
AMZ10163,Customer 1758,Product 396,Books,2023-06-18,2023-06-22,Australia,Canada,Offline,8,364.04,2912.32,41.64,Delivered,1.8
AMZ10164,Customer 3437,Product 467,Electronics,2023-01-14,2023-01-16,South America,Australia,Online,10,295.28,2952.8,17.08,Cancelled,3.6
AMZ10165,Customer 2808,Product 174,Sports,2021-03-28,2021-04-05,South America,Canada,Online,2,353.42,706.84,18.77,Delivered,4.8
AMZ10166,Customer 609,Product 216,Beauty,2020-10-25,2020-10-31,South America,Brazil,Online,2,88.08,176.16,8.94,Returned,4.9
AMZ10167,Customer 4296,Product 240,Home,2023-03-29,2023-04-01,South America,Australia,Online,9,114.29,1028.61,45.75,Cancelled,4.9
AMZ10168,Customer 1695,Product 172,Clothing,2022-11-11,2022-11-20,South America,India,Online,18,398.4,7171.2,47.69,Pending,2.2
AMZ10169,Customer 3894,Product 458,Home,2024-09-13,2024-09-19,North America,Germany,Offline,11,393.2,4325.2,41.4,Delivered,4.9
AMZ10170,Customer 568,Product 229,Toys,2021-09-26,2021-10-06,Africa,Germany,Online,9,453.22,4078.98,21.38,Pending,2.7
AMZ10171,Customer 4511,Product 266,Home,2024-03-14,2024-03-17,Australia,United States,Offline,9,232.12,2089.08,42.94,Pending,1.8
AMZ10172,Customer 4093,Product 377,Home,2022-10-04,2022-10-05,Asia,Canada,Online,3,442.17,1326.51,27.27,Delivered,3.2
AMZ10173,Customer 2691,Product 74,Home,2022-06-15,2022-06-22,Europe,India,Offline,12,368.03,4416.36,20.89,Delivered,3.8
AMZ10174,Customer 1387,Product 533,Toys,2022-04-24,2022-05-03,Europe,United States,Offline,7,497.47,3482.29,44.18,Pending,1.4
AMZ10175,Customer 1360,Product 435,Electronics,2020-02-28,2020-03-04,Australia,India,Online,12,153.83,1845.96,47.33,Returned,2.2
AMZ10176,Customer 445,Product 502,Books,2023-07-19,2023-07-24,Australia,Germany,Offline,15,354.05,5310.75,19.68,Cancelled,1.2
AMZ10177,Customer 2012,Product 354,Clothing,2024-05-17,2024-05-24,Europe,Brazil,Offline,2,82.86,165.72,30.95,Delivered,4.2
AMZ10178,Customer 2821,Product 264,Clothing,2020-04-24,2020-05-02,Europe,India,Online,2,184.42,368.84,22.15,Pending,4.4
AMZ10179,Customer 1278,Product 560,Electronics,2020-02-28,2020-03-02,Africa,Australia,Offline,10,276.51,2765.1,47.98,Returned,3.1
AMZ10180,Customer 3908,Product 697,Electronics,2023-04-06,2023-04-09,North America,United Kingdom,Offline,3,459.28,1377.84,25.57,Delivered,4.0
AMZ10181,Customer 4306,Product 995,Beauty,2021-11-09,2021-11-10,Australia,India,Online,1,322.33,322.33,32.4,Cancelled,1.2
AMZ10182,Customer 2117,Product 274,Beauty,2024-09-14,2024-09-17,Africa,Brazil,Offline,16,50.8,812.8,34.39,Cancelled,2.1
AMZ10183,Customer 788,Product 663,Electronics,2021-04-22,2021-04-26,Europe,United Kingdom,Online,18,304.78,5486.04,27.07,Returned,1.1
AMZ10184,Customer 2915,Product 450,Beauty,2023-04-04,2023-04-14,North America,India,Online,4,96.95,387.8,47.01,Cancelled,2.4
AMZ10185,Customer 3312,Product 64,Sports,2021-09-27,2021-10-03,North America,Brazil,Online,15,468.74,7031.1,33.67,Returned,3.6
AMZ10186,Customer 3201,Product 826,Toys,2024-08-19,2024-08-23,North America,India,Online,11,404.76,4452.36,19.24,Cancelled,3.7
AMZ10187,Customer 2014,Product 838,Sports,2020-11-25,2020-12-01,Asia,United States,Online,1,482.97,482.97,38.28,Pending,3.7
AMZ10188,Customer 1181,Product 68,Electronics,2021-09-03,2021-09-13,North America,Germany,Online,5,187.54,937.7,8.56,Delivered,1.3
AMZ10189,Customer 2107,Product 704,Home,2020-01-27,2020-02-02,South America,Australia,Online,8,36.99,295.92,32.04,Returned,1.9
AMZ10190,Customer 415,Product 605,Books,2021-02-18,2021-02-21,North America,Australia,Offline,15,119.03,1785.45,46.52,Returned,4.4
AMZ10191,Customer 669,Product 465,Beauty,2020-01-17,2020-01-21,Africa,Germany,Online,8,451.59,3612.72,18.22,Delivered,1.3
AMZ10192,Customer 2627,Product 14,Beauty,2023-02-10,2023-02-19,North America,Australia,Online,7,247.41,1731.87,9.82,Returned,3.9
